,IDs,Age,Annual_Income,Investment_Amount,Risk_Tolerance_Score,Months_of_Investing_Experience,Number_of_Active_Investments,Potential_Return_Rate,Investment_Duration,Investment_to_Income_Ratio,Education,Employment_Status,Marital_Status,Owns_Property,Has_Dependents,Investment_Sector,Has_Investment_Advisor
5817,6029,49.0,131809.0,122027.0,517,11,3.0,8.92,24,0.62,3,4,3,1,1,4,0,
5818,6030,25.0,55440.0,31165.0,349,80,4.0,17.16,60,0.71,4,3,3,1,0,2,1,
5819,6031,44.3232547279944,46930.0,231710.0,613,0,4.0,2.16,60,0.74,4,4,1,1,1,1,1,
5820,6032,51.0,88233.0,188524.0,630,112,4.0,24.39,12,0.14,3,2,2,1,1,3,0,
5821,6033,65.0,78807.0,70564.0,765,50,2.0,13.47,24,0.14,3,4,1,1,1,4,1,
5822,6034,26.0,70255.0,175309.0,572,55,3.0,2.84,48,0.41,2,4,2,0,0,4,1,
5823,6035,44.3232547279944,41650.0,248355.0,714,21,2.0,12.72,36,0.48,4,1,2,0,1,1,0,
5824,6036,58.0,61827.0,16906.0,763,88,1.0,17.54,36,0.42,3,4,1,1,0,4,0,
5825,6037,53.0,100980.0,162302.0,733,47,3.0,12.96,12,0.12,3,4,3,1,0,3,0,
5826,6039,54.0,17833.0,235308.0,468,96,4.0,10.73,24,0.11,2,1,1,0,1,5,0,
5827,6040,44.0,97607.0,50952.0,477,106,2.0,3.61,60,0.35,2,2,1,1,0,2,1,
5828,6041,18.0,138455.0,130971.0,387,92,2.0,21.6,36,0.53,3,1,1,0,0,5,0,
5829,6042,60.0,50023.0,153975.0,586,42,3.0,14.74,36,0.46,4,3,2,1,1,1,0,
5830,6043,31.0,44977.0,41579.0,1094,96,4.0,13.94,48,0.87,2,2,2,1,0,3,1,
5831,6044,31.0,64218.0,207642.0,750,68,4.0,19.34,48,0.89,4,1,3,1,1,2,0,
5832,6045,52.0,128393.0,128655.0,580,111,3.0,17.11,24,0.45,2,1,1,1,1,1,1,
5833,6046,44.3232547279944,134772.0,216270.0,509,18,1.0,2.75,24,0.53,3,3,3,1,0,1,0,
5834,6047,53.0,43809.0,91997.0,357,69,1.0,16.41,48,0.75,1,1,2,0,0,5,0,
5835,6048,62.0,33922.0,20140.0,844,63,3.0,8.86,60,0.59,4,4,3,0,0,5,0,
5836,6050,33.0,75207.0,169490.0,1080,33,1.0,24.74,48,0.64,4,2,1,0,0,1,1,
5837,6051,54.0,80129.8897460505,39666.0,405,60,1.0,11.51,60,0.16,2,2,3,1,1,4,0,
5838,6052,47.0,105298.0,208550.0,617,89,1.0,16.62,12,0.81,3,2,1,0,1,4,1,
5839,6053,53.0,23999.0,239720.0,844,50,1.0,6.08,12,0.36,2,4,1,0,1,3,1,
5840,6054,27.0,104136.0,158167.0,543,30,1.0,7.46,12,0.7,2,2,2,1,0,1,0,
5841,6055,44.3232547279944,64177.0,100101.0,601,106,3.0,15.68,60,0.46,1,4,1,1,1,1,0,
5842,6056,41.0,36771.0,157309.0,841,78,4.0,10.66,36,0.17,2,4,1,0,0,4,1,
5843,6057,47.0,130488.0,232887.0,572,2,4.0,20.41,48,0.27,1,2,2,0,1,2,0,
5844,6058,25.0,140741.0,168364.0,673,50,3.0,15.04,36,0.26,2,1,1,1,1,3,0,
5845,6059,41.0,58394.0,173721.0,409,51,3.0,14.0743642237595,24,0.2,3,4,1,1,0,3,1,
5846,6060,68.0,116166.0,230125.0,496,74,1.0,22.62,36,0.57,1,4,1,0,1,5,1,
5847,6061,44.3232547279944,108452.0,51845.0,602,14,1.0,3.13,24,0.87,3,4,3,0,3,3,1,
5848,6062,52.0,142247.0,200254.0,482,91,4.0,22.51,60,0.59,2,4,1,0,1,5,1,
5849,6063,46.0,139472.0,146954.0,462,74,4.0,3.76,48,0.86,2,4,2,0,1,2,1,
5850,6064,39.0,105296.0,163815.0,1053,113,3.0,22.2,36,0.75,4,2,2,1,3,5,0,
5851,6065,57.0,60506.0,62928.0,635,17,1.0,14.0743642237595,24,0.35,2,1,2,1,0,5,1,
5852,6066,55.0,141461.0,65510.0,619,55,4.0,13.97,36,0.39,1,4,3,0,0,1,1,
5853,6067,33.0,65515.0,171841.0,792,7,1.0,18.46,60,0.55,1,2,1,1,1,2,1,
5854,6068,56.0,15905.0,240631.0,477,51,2.0,7.63,12,0.57,3,4,3,0,0,3,0,
5855,6069,20.0,80129.8897460505,57922.0,788,114,2.0,18.49,24,0.86,1,4,2,0,1,5,1,
5856,6070,43.0,80129.8897460505,186532.0,1049,115,2.0,3.09,36,0.4,3,1,1,0,1,1,0,
5857,6071,25.0,117833.0,189783.0,1032,71,2.0,21.58,12,0.28,2,2,1,1,1,5,0,
5858,6072,32.0,112075.0,25139.0,345,39,2.0,23.16,24,0.39,4,3,2,1,1,4,0,
5859,6073,47.0,58676.0,7860.0,480,79,4.0,2.06,60,0.37,2,2,1,1,1,4,0,
5860,6074,31.0,27004.0,135106.0,453,108,3.0,6.91,36,0.8,1,1,3,1,0,5,0,
5861,6075,34.0,80129.8897460505,131316.0,843,57,4.0,19.74,24,0.18,3,3,2,0,0,1,1,
5862,6076,44.3232547279944,83804.0,50368.0,404,92,2.0,15.76,24,0.45,1,4,3,0,1,1,0,
5863,6077,24.0,100569.0,242199.0,370,9,1.0,21.01,60,0.28,1,2,2,1,1,5,1,
5864,6078,44.3232547279944,117110.0,183557.0,687,0,4.0,17.41,36,0.19,3,1,3,0,1,5,1,
5865,6079,66.0,88283.0,65893.0,397,25,3.0,7.72,36,0.45,1,3,1,0,1,4,1,
5866,6080,41.0,41558.0,117565.0,778,27,3.0,14.0743642237595,36,0.39,1,3,1,0,0,2,1,
5867,6081,56.0,84516.0,223760.0,386,54,2.0,13.31,36,0.37,1,3,1,1,1,5,1,
5868,6082,19.0,147386.0,98204.0,842,21,4.0,22.33,36,0.59,3,3,3,0,0,3,0,
5869,6083,28.0,52914.0,142544.0,741,1,2.0,4.65,12,0.68,4,2,1,0,0,1,0,
5870,6084,29.0,25527.0,120032.0,610,49,3.0,19.37,12,0.51,1,1,3,0,0,1,1,
5871,6085,67.0,109952.0,216383.0,599,37,3.0,23.95,24,0.69,1,2,3,1,1,4,0,
5872,6087,33.0,112154.0,31329.0,762,105,1.0,23.71,36,0.37,4,1,1,1,1,5,1,
5873,6088,44.3232547279944,91109.0,57352.0,598,48,4.0,17.53,12,0.62,2,2,1,0,1,5,1,
5874,6089,50.0,53235.0,183353.0,672,43,1.0,14.0743642237595,36,0.44,1,4,1,0,0,4,0,
5875,6090,44.3232547279944,80129.8897460505,161024.0,755,47,3.0,14.91,60,0.75,3,2,1,0,1,5,0,
5876,6091,55.0,140835.0,109883.0,332,36,1.0,17.28,12,0.86,1,1,1,1,0,1,0,
5877,6092,29.0,126107.0,110963.0,801,41,4.0,7.46,36,0.38,2,1,1,0,1,2,0,
5878,6093,54.0,143338.0,84633.0,357,83,3.0,14.46,60,0.78,1,3,1,0,1,2,1,
5879,6094,22.0,80129.8897460505,62767.0,674,46,3.0,22.45,24,0.61,2,1,1,0,1,1,1,
5880,6095,28.0,63654.0,29511.0,702,25,1.0,12.01,60,0.29,1,4,3,1,1,4,1,
5881,6096,22.0,25729.0,131814.590994711,510,32,4.0,11.1,12,0.44,4,4,1,1,1,3,0,
5882,6097,44.3232547279944,31019.0,131814.590994711,426,19,2.0,22.25,12,0.69,1,3,1,0,0,5,0,
5883,6098,53.0,118656.0,32017.0,322,13,3.0,5.61,12,0.83,1,4,1,0,1,1,0,
5884,6099,50.0,68726.0,133129.0,423,46,3.0,14.94,60,0.81,1,1,1,0,1,3,0,
5885,6100,57.0,118196.0,195714.0,798,87,3.0,19.42,48,0.62,3,3,1,0,0,1,0,
5886,6101,37.0,80129.8897460505,46649.0,448,111,2.0,21.59,36,0.31,1,1,1,1,1,4,1,
5887,6103,32.0,121673.0,241641.0,322,94,2.0,7.78,48,0.9,3,4,1,1,0,1,0,
5888,6104,65.0,128475.0,48253.0,595,12,2.0,2.0,12,0.57,1,4,3,1,1,4,1,
5889,6105,46.0,54346.0,24438.0,745,113,4.0,21.36,24,0.15,4,4,2,1,1,5,1,
5890,6106,51.0,104765.0,138086.0,507,10,3.0,7.66,24,0.1,1,3,1,1,1,5,0,
5891,6107,64.0,80129.8897460505,134550.0,652,9,2.0,21.36,60,0.12,3,4,1,1,1,2,1,
5892,6108,33.0,31271.0,100544.0,747,13,4.0,2.6,48,0.36,4,1,1,1,1,3,1,
5893,6109,40.0,122773.0,146665.0,431,27,3.0,8.14,60,0.45,3,1,1,0,0,3,1,
5894,6110,47.0,89847.0,16899.0,321,48,3.0,2.66,36,0.77,1,1,1,1,0,5,0,
5895,6111,22.0,116329.0,144254.0,828,24,4.0,8.1,60,0.64,3,2,3,1,1,5,0,
5896,6112,28.0,80668.0,129571.0,703,72,1.0,18.75,48,0.2,1,2,1,1,0,1,0,
5897,6113,43.0,28293.0,244779.0,708,46,1.0,16.57,36,0.79,2,4,2,1,0,1,1,
5898,6114,44.3232547279944,60322.0,205658.0,534,23,2.0,23.07,48,0.9,1,1,1,1,0,1,0,
5899,6115,32.0,147049.0,77065.0,1041,96,4.0,8.15,12,0.68,3,5,1,1,1,3,1,
5900,6116,29.0,71908.0,231897.0,510,27,3.0,20.24,36,0.61,4,2,1,0,1,2,0,
5901,6117,32.0,113599.0,102981.0,493,78,2.52142419914303,5.62,24,0.17,2,1,1,0,1,1,1,
5902,6118,42.0,64084.0,131814.590994711,597,26,4.0,4.89,12,0.82,1,4,1,0,1,2,1,
5903,6119,62.0,147167.0,96537.0,597,81,4.0,5.18,12,0.8,1,2,1,1,1,3,1,
5904,6120,46.0,72780.0,233261.0,497,75,4.0,8.38,60,0.52,4,2,1,0,0,4,0,
5905,6121,35.0,116574.0,107350.0,810,99,2.0,17.02,60,0.89,3,4,1,1,0,3,0,
5906,6122,38.0,88727.0,176675.0,672,43,2.0,4.71,12,0.75,1,1,3,1,1,2,1,
5907,6123,57.0,21174.0,34739.0,497,82,3.0,4.16,24,0.33,3,4,1,0,1,1,0,
5908,6124,32.0,80129.8897460505,231156.0,640,28,3.0,7.07,36,0.25,1,1,2,0,1,2,1,
5909,6125,63.0,125154.0,167112.0,799,111,3.0,13.71,12,0.52,1,1,3,0,0,3,1,
5910,6126,44.3232547279944,27966.0,238130.0,726,13,4.0,24.53,60,0.43,2,3,2,0,1,3,0,
5911,6127,43.0,136825.0,196761.0,654,54,4.0,11.96,36,0.33,2,2,3,0,1,3,0,
5912,6128,57.0,38372.0,214435.0,350,41,2.52142419914303,13.84,48,0.5,3,2,1,0,1,5,1,
5913,6129,51.0,113983.0,185503.0,623,84,4.0,23.03,60,0.49,3,3,3,1,0,5,0,
5914,6130,44.3232547279944,88666.0,242205.0,386,4,1.0,5.39,24,0.84,4,1,1,1,0,5,1,
5915,6132,64.0,132503.0,163302.0,767,100,2.0,9.69,12,0.61,3,2,1,1,1,1,0,
5916,6133,56.0,83484.0,104304.0,800,40,4.0,20.27,48,0.53,2,1,1,2,0,1,0,
5917,6134,59.0,31889.0,184039.0,383,7,4.0,9.63,48,0.34,1,4,1,3,1,5,0,
5918,6136,67.0,125690.0,141121.0,477,37,2.0,2.65,36,0.82,4,1,1,1,1,1,0,
5919,6137,28.0,25361.0,166893.0,425,11,1.0,11.23,60,0.49,2,1,3,1,1,1,1,
5920,6138,61.0,77586.0,177339.0,621,58,1.0,9.86,36,0.81,3,3,1,0,0,1,0,
5921,6139,44.3232547279944,28744.0,179265.0,404,48,2.0,25.0,12,0.51,3,1,1,0,1,2,0,
5922,6140,53.0,47411.0,202488.0,695,50,3.0,13.54,48,0.8,1,2,3,0,0,5,0,
5923,6141,18.0,109674.0,230325.0,729,90,3.0,24.89,24,0.9,3,1,3,0,0,5,0,
5924,6142,32.0,142343.0,178831.0,502,20,1.0,9.92,24,0.44,1,4,3,0,0,3,0,
5925,6143,55.0,37412.0,160625.0,398,72,3.0,8.3,36,0.32,4,3,2,0,0,3,1,
5926,6144,36.0,88551.0,157653.0,386,21,2.0,12.8,12,0.61,4,2,1,0,0,5,1,
5927,6145,44.3232547279944,76803.0,20130.0,375,109,1.0,8.25,12,0.26,3,4,1,1,1,4,1,
5928,6146,53.0,68269.0,148878.0,621,14,1.0,12.74,60,0.9,1,2,1,1,1,5,0,
5929,6148,38.0,85493.0,112157.0,848,76,4.0,7.75,60,0.1,1,2,1,1,1,4,1,
5930,6149,58.0,29566.0,204937.0,783,97,2.0,3.51,24,0.2,3,2,3,1,0,2,0,
5931,6150,47.0,126119.0,37307.0,671,45,2.0,15.52,48,0.21,2,1,1,1,0,2,0,
5932,6151,60.0,78707.0,131814.590994711,479,30,1.0,21.61,60,0.3,3,2,1,1,1,3,0,
5933,6152,43.0,46831.0,26658.0,596,82,4.0,14.0743642237595,60,0.28,2,1,1,1,1,5,0,
5934,6153,57.0,80129.8897460505,95390.0,405,58,4.0,22.41,48,0.65,2,3,2,0,1,5,1,
5935,6154,62.0,38284.0,173648.0,590,70,3.0,18.3,60,0.24,4,2,3,0,1,1,1,
5936,6155,29.0,89261.0,242213.0,1029,15,3.0,11.91,24,0.59,1,3,1,0,0,3,1,
5937,6156,33.0,73962.0,131814.590994711,689,4,4.0,4.11,36,0.11,3,4,3,0,1,3,0,
5938,6157,33.0,147026.0,5364.0,1096,115,2.0,21.9,36,0.37,2,1,3,1,0,3,0,
5939,6158,19.0,61543.0,64316.0,574,83,4.0,16.6,24,0.63,3,2,1,0,0,3,0,
5940,6159,54.0,119893.0,69612.0,1088,16,1.0,20.77,24,0.74,3,4,1,1,1,1,1,
5941,6160,38.0,107237.0,144865.0,462,59,4.0,10.71,60,0.65,4,1,3,1,0,3,0,
5942,6161,57.0,122370.0,183322.0,673,72,4.0,19.69,36,0.72,1,2,2,0,1,5,0,
5943,6163,24.0,80129.8897460505,119482.0,447,98,3.0,5.4,24,0.54,1,1,2,1,0,5,1,
5944,6164,44.3232547279944,125932.0,168975.0,408,78,4.0,24.55,60,0.8,3,2,1,1,1,3,1,
5945,6165,44.3232547279944,22776.0,245919.0,816,45,4.0,19.27,12,0.19,2,3,2,0,1,3,1,
5946,6166,26.0,129307.0,87975.0,809,33,1.0,22.19,60,0.56,3,3,1,0,1,2,0,
5947,6167,30.0,84342.0,89412.0,516,62,4.0,19.2,60,0.62,2,1,1,1,0,2,0,
5948,6168,47.0,29163.0,240113.0,592,65,1.0,23.38,60,0.77,3,3,1,0,0,5,0,
5949,6169,44.3232547279944,132197.0,47065.0,674,66,2.0,19.17,60,0.74,4,3,2,0,1,1,1,
5950,6170,44.3232547279944,77945.0,219769.0,800,88,3.0,16.42,48,0.45,3,2,3,1,0,5,0,
5951,6171,21.0,80129.8897460505,21440.0,714,13,2.0,7.32,60,0.23,1,2,2,1,0,4,0,
5952,6172,23.0,87089.0,114539.0,559,61,4.0,23.35,48,0.59,2,1,2,1,0,4,0,
5953,6173,27.0,18748.0,178556.0,669,79,2.0,21.68,48,0.12,1,1,2,0,1,3,0,
5954,6174,30.0,44349.0,65827.0,650,47,2.0,14.0743642237595,48,0.32,1,3,1,0,0,4,0,
5955,6175,48.0,80129.8897460505,146197.0,522,32,1.0,2.52,12,0.63,3,2,3,1,0,2,0,
5956,6176,20.0,44914.0,184377.0,707,65,4.0,14.81,24,0.48,3,1,1,1,1,1,0,
5957,6177,26.0,101958.0,54362.0,604,48,3.0,4.33,12,0.66,4,2,2,0,0,1,1,
5958,6178,52.0,96668.0,171706.0,595,98,2.0,16.21,24,0.89,3,4,1,1,1,1,0,
5959,6179,19.0,19669.0,131814.590994711,367,2,3.0,14.0743642237595,36,0.43,1,2,1,0,1,2,0,
5960,6180,45.0,96865.0,178855.0,325,3,2.0,11.5,24,0.57,4,1,3,0,1,2,1,
5961,6181,29.0,104207.0,200183.0,324,107,4.0,7.55,12,0.73,2,4,3,1,0,2,1,
5962,6182,44.3232547279944,85588.0,15424.0,802,38,4.0,8.98,36,0.78,4,3,2,1,1,4,0,
5963,6183,33.0,56869.0,172152.0,396,94,2.0,23.98,12,0.39,1,2,3,0,1,1,1,
5964,6184,44.3232547279944,35652.0,190127.0,773,60,4.0,14.0743642237595,12,0.65,4,2,3,0,0,2,0,
5965,6185,44.3232547279944,45259.0,218808.0,414,1,3.0,12.7,12,0.62,1,3,3,0,1,5,0,
5966,6186,60.0,20028.0,199439.0,360,37,4.0,24.19,12,0.83,1,4,3,0,0,1,0,
5967,6187,61.0,97312.0,156242.0,481,85,1.0,19.51,48,0.88,1,3,3,0,1,5,1,
5968,6188,25.0,121863.0,99430.0,448,31,4.0,22.36,48,0.77,4,3,3,1,0,5,0,
5969,6189,46.0,124448.0,236369.0,517,15,4.0,2.51,24,0.7,2,3,2,1,1,2,1,
5970,6190,56.0,69079.0,131814.590994711,428,12,3.0,14.27,12,0.49,2,2,1,0,0,5,1,
5971,6191,51.0,119838.0,99816.0,739,8,3.0,17.68,12,0.55,1,2,2,1,0,2,1,
5972,6192,21.0,89615.0,162914.0,436,115,2.0,18.94,60,0.34,1,1,2,1,1,1,0,
5973,6193,25.0,80129.8897460505,131814.590994711,844,24,1.0,8.31,36,0.86,1,3,1,1,0,4,0,
5974,6194,53.0,23261.0,5929.0,824,76,4.0,7.51,48,0.54,3,1,3,1,1,5,1,
5975,6195,30.0,101756.0,57923.0,828,22,1.0,8.84,60,0.18,1,1,2,1,0,2,1,
5976,6196,39.0,96759.0,38142.0,406,42,4.0,17.81,36,0.64,2,1,1,1,0,3,1,
5977,6197,39.0,124131.0,136021.0,695,14,1.0,10.04,12,0.85,3,2,1,1,0,1,0,
5978,6198,31.0,74062.0,29756.0,305,49,1.0,12.53,12,0.71,4,2,3,0,0,3,1,
5979,6199,44.3232547279944,28983.0,131814.590994711,505,88,1.0,20.3,60,0.89,2,1,2,1,0,5,0,
5980,6200,44.3232547279944,65158.0,62000.0,789,6,3.0,22.03,36,0.7,3,1,1,1,0,1,0,
5981,6201,39.0,53692.0,131814.590994711,660,84,2.0,14.0743642237595,48,0.41,3,4,2,0,0,5,1,
5982,6202,58.0,136121.0,193770.0,767,115,4.0,14.51,24,0.28,1,3,1,0,0,4,1,
5983,6203,34.0,134098.0,212755.0,329,84,4.0,5.57,24,0.16,2,4,2,1,1,2,0,
5984,6204,45.0,41652.0,90863.0,470,99,1.0,15.57,60,0.47,1,1,2,1,1,2,1,
5985,6205,62.0,37594.0,131814.590994711,525,111,2.0,11.45,48,0.77,3,3,3,1,0,4,0,
5986,6206,44.0,89854.0,148861.0,845,8,3.0,12.18,36,0.83,4,4,2,0,1,3,0,
5987,6207,24.0,38111.0,213366.0,550,102,2.0,21.21,12,0.17,4,3,3,1,0,3,1,
5988,6208,55.0,111910.0,50474.0,377,98,3.0,13.38,36,0.19,2,3,2,0,1,3,0,
5989,6209,65.0,86356.0,100553.0,660,54,3.0,18.24,12,0.1,3,2,2,1,0,1,0,
5990,6210,41.0,74867.0,107898.0,637,22,4.0,21.08,12,0.15,1,1,2,0,0,5,0,
5991,6211,25.0,80129.8897460505,131814.590994711,394,7,3.0,5.29,36,0.56,1,2,2,1,0,5,1,
5992,6212,61.0,129079.0,160556.0,573,115,1.0,20.38,36,0.78,1,3,3,1,1,1,1,
5993,6213,55.0,90082.0,158854.0,748,97,1.0,21.27,12,0.69,4,1,2,1,1,3,0,
5994,6214,62.0,80129.8897460505,56998.0,510,101,4.0,13.79,36,0.48,3,3,1,0,0,3,1,
5995,6216,56.0,135451.0,131359.0,412,70,2.0,14.56,24,0.35,1,4,3,1,1,1,1,
5996,6217,44.3232547279944,28592.0,52005.0,1014,70,1.0,16.16,12,0.4,1,3,1,1,1,3,1,
5997,6218,54.0,106782.0,63968.0,701,44,1.0,11.84,24,0.21,1,3,2,0,1,2,0,
5998,6219,58.0,127784.0,187161.0,760,13,3.0,15.76,12,0.54,3,4,2,0,1,3,0,
5999,6220,60.0,80129.8897460505,225899.0,1036,12,2.0,17.31,60,0.28,4,2,3,1,1,2,0,
6000,6221,56.0,80129.8897460505,153745.0,549,6,3.0,18.43,24,0.81,3,3,3,0,1,2,0,
6001,6222,44.3232547279944,17652.0,210636.0,647,42,4.0,12.96,24,0.55,4,1,3,0,1,4,0,
6002,6223,35.0,140768.0,130289.0,738,63,2.0,22.84,60,0.3,4,3,1,0,1,4,1,
6003,6224,56.0,23297.0,80578.0,639,13,3.0,22.19,60,0.24,2,3,2,0,0,5,0,
6004,6225,26.0,92320.0,55080.0,385,34,2.52142419914303,5.85,36,0.75,2,1,1,0,0,4,0,
6005,6226,51.0,126899.0,30934.0,814,69,1.0,9.51,24,0.37,2,3,1,1,0,1,1,
6006,6227,44.3232547279944,118283.0,249978.0,391,23,1.0,9.46,36,0.76,4,2,3,1,0,2,1,
6007,6228,28.0,35983.0,84166.0,750,87,4.0,4.51,48,0.26,3,2,1,0,1,3,1,
6008,6229,38.0,39633.0,153343.0,338,95,4.0,4.07,60,0.18,4,4,1,0,0,3,1,
6009,6230,46.0,36726.0,198696.0,816,70,3.0,4.17,24,0.67,1,1,2,1,1,1,1,
6010,6231,41.0,103208.0,77451.0,809,65,2.52142419914303,10.57,60,0.57,4,1,3,0,1,4,0,
6011,6232,44.3232547279944,61647.0,240640.0,432,58,3.0,16.71,48,0.29,1,1,3,1,1,3,1,
6012,6233,53.0,60070.0,214501.0,402,95,3.0,5.95,24,0.74,4,2,2,0,0,5,1,
6013,6234,38.0,24966.0,44384.0,719,9,2.0,13.38,12,0.9,1,2,2,0,0,5,0,
6014,6235,44.3232547279944,74304.0,32412.0,756,30,2.0,14.0743642237595,60,0.41,4,4,1,0,1,1,1,
6015,6236,40.0,24897.0,225651.0,331,11,4.0,21.95,12,0.57,2,3,3,0,1,3,1,
6016,6237,28.0,92515.0,125523.0,771,1,4.0,7.3,48,0.1,1,4,1,0,1,5,1,
6017,6238,62.0,106642.0,226384.0,369,79,3.0,23.38,48,0.68,4,2,1,0,0,2,1,
6018,6239,35.0,55725.0,145626.0,845,52,4.0,18.75,12,0.13,1,4,1,0,0,3,1,
6019,6240,58.0,80129.8897460505,144485.0,657,119,1.0,5.38,36,0.58,3,4,1,1,1,2,0,
6020,6241,24.0,38061.0,211920.0,391,40,2.0,21.22,12,0.65,1,3,1,1,0,1,1,
6021,6242,48.0,141554.0,25114.0,823,28,1.0,22.77,24,0.79,1,1,2,0,0,5,0,
6022,6243,65.0,27818.0,166725.0,398,50,3.0,18.03,36,0.77,2,2,2,0,1,1,0,
6023,6244,29.0,22571.0,198307.0,828,42,3.0,11.74,48,0.17,3,1,1,1,0,1,0,
6024,6245,24.0,42983.0,36521.0,445,3,1.0,23.22,60,0.36,3,1,3,1,0,3,0,
6025,6246,43.0,148018.0,204400.0,421,48,3.0,6.62,36,0.86,3,4,2,1,0,3,0,
6026,6247,31.0,35614.0,73881.0,426,20,3.0,15.68,48,0.82,1,3,1,1,1,3,1,
6027,6248,55.0,67329.0,13483.0,371,90,2.0,24.92,60,0.9,3,1,2,0,1,3,1,
6028,6249,24.0,105592.0,176156.0,705,28,2.0,12.05,24,0.72,1,3,3,0,1,4,0,
6029,6250,21.0,103687.0,39970.0,787,4,4.0,14.55,60,0.17,2,3,1,0,0,2,0,
6030,6251,40.0,21329.0,103920.0,359,84,1.0,6.13,48,0.79,2,1,1,1,1,2,1,
6031,6252,27.0,126583.0,131814.590994711,550,48,1.0,21.41,36,0.36,4,3,3,1,0,2,0,
6032,6253,58.0,38686.0,134181.0,635,97,4.0,16.99,12,0.73,2,2,3,0,0,2,1,
6033,6254,30.0,58792.0,7027.0,426,13,3.0,8.68,36,0.19,1,4,3,0,0,2,0,
6034,6255,69.0,56532.0,124943.0,454,4,4.0,14.0743642237595,48,0.75,2,1,1,0,1,3,1,
6035,6256,37.0,45871.0,155944.0,703,95,3.0,13.81,48,0.81,1,4,3,0,1,2,0,
6036,6257,58.0,35820.0,72361.0,523,79,4.0,17.95,60,0.65,4,2,1,0,1,4,1,
6037,6258,35.0,81291.0,74599.0,786,45,3.0,15.03,60,0.1,2,4,1,0,0,1,1,
6038,6259,22.0,22677.0,128152.0,526,66,3.0,10.28,12,0.88,4,2,1,1,0,3,0,
6039,6260,56.0,100018.0,220489.0,345,52,2.0,8.74,48,0.33,4,2,1,1,2,4,1,
6040,6261,54.0,80129.8897460505,241599.0,632,9,1.0,14.0743642237595,12,0.72,2,4,1,1,1,4,0,
6041,6262,51.0,68906.0,222818.0,661,2,4.0,14.25,24,0.17,1,1,2,1,1,1,0,
6042,6263,46.0,54665.0,131814.590994711,330,36,4.0,23.74,24,0.46,1,2,3,0,1,5,0,
6043,6264,56.0,20070.0,216452.0,317,6,3.0,21.25,48,0.5,4,3,1,0,0,4,1,
6044,6265,65.0,78729.0,179075.0,557,35,3.0,15.42,60,0.76,3,1,2,2,0,5,0,
6045,6266,21.0,54600.0,179071.0,501,63,2.0,22.7,48,0.65,2,3,1,1,1,2,1,
6046,6267,37.0,60628.0,26309.0,438,102,1.0,16.51,12,0.75,1,1,1,1,1,5,1,
6047,6268,53.0,59245.0,221331.0,398,68,2.0,10.74,48,0.13,3,3,3,0,0,4,1,
6048,6269,20.0,33030.0,86277.0,394,112,3.0,14.0743642237595,36,0.7,1,1,2,1,0,4,1,
6049,6270,19.0,120368.0,82051.0,591,5,3.0,2.47,60,0.19,1,3,2,0,0,2,1,
6050,6271,18.0,23241.0,206734.0,1051,110,2.0,4.32,36,0.6,3,3,3,1,1,3,1,
6051,6272,41.0,43734.0,224423.0,529,46,4.0,23.82,24,0.3,4,3,2,1,0,3,1,
6052,6273,50.0,24369.0,200753.0,431,108,2.0,5.41,36,0.37,4,2,1,1,1,5,1,
6053,6274,65.0,143104.0,131814.590994711,471,30,1.0,24.13,48,0.35,1,1,1,0,1,3,1,
6054,6275,52.0,46134.0,125469.0,460,65,1.0,10.74,12,0.42,1,3,3,1,1,3,1,
6055,6276,51.0,35218.0,228404.0,320,111,4.0,13.15,60,0.17,2,4,2,1,1,2,0,
6056,6277,20.0,135449.0,34913.0,840,12,1.0,21.47,60,0.41,1,1,1,1,1,3,1,
6057,6278,43.0,88115.0,137841.0,306,0,1.0,5.51,24,0.35,2,1,1,1,0,5,1,
6058,6279,24.0,80003.0,97660.0,608,97,3.0,2.29,48,0.57,3,3,2,1,1,2,1,
6059,6280,44.0,17265.0,114936.0,577,51,2.0,3.61,12,0.56,1,2,1,1,0,2,1,
6060,6281,34.0,54080.0,155471.0,1036,85,1.0,5.32,24,0.88,2,1,1,0,1,2,1,
6061,6282,23.0,27788.0,122749.0,361,72,3.0,8.61,48,0.4,1,4,1,1,0,5,0,
6062,6283,37.0,32385.0,42699.0,675,80,2.52142419914303,18.78,60,0.12,3,1,1,0,1,5,0,
6063,6284,67.0,131625.0,176532.0,332,92,2.0,3.96,48,0.88,4,1,3,1,0,2,1,
6064,6285,20.0,60137.0,243044.0,798,61,4.0,14.0743642237595,60,0.64,1,2,1,2,0,3,0,
6065,6286,38.0,133898.0,214397.0,582,110,2.0,4.22,12,0.52,1,3,1,1,0,3,1,
6066,6287,44.3232547279944,75527.0,127295.0,1084,73,1.0,14.0743642237595,24,0.16,1,2,1,1,1,3,1,
6067,6288,36.0,142294.0,219590.0,482,42,3.0,14.9,36,0.54,1,4,1,0,1,5,0,
6068,6289,21.0,23539.0,67682.0,451,9,4.0,7.75,12,0.21,1,1,3,0,0,3,0,
6069,6290,55.0,19236.0,174378.0,1029,79,4.0,9.37,60,0.4,1,4,1,1,0,3,1,
6070,6291,18.0,40372.0,18925.0,758,35,4.0,13.55,12,0.72,4,1,3,1,3,5,1,
6071,6292,19.0,24396.0,200649.0,1006,117,1.0,10.41,24,0.74,1,3,1,0,1,3,0,
